pool_size,n_train,mean_error,std_error,mean_m,std_m
10,10,0.4128888888888889,0.10393160143949375,2.88,2.658119636133784
10,20,0.396,0.12955307792561319,1.12,1.3948476619330155
10,50,0.37759999999999994,0.13603764184959985,0.96,1.148216007552586
10,80,0.314,0.15844241856270685,1.6,1.131370849898476
20,10,0.35466666666666663,0.10735518526121193,5.08,2.225668438918969
20,20,0.342,0.11390127303941779,5.16,4.144200767337413
20,50,0.2848,0.15339152518962706,1.76,1.4221111067704943
20,80,0.21400000000000002,0.14595889832415151,2.84,1.803995565404749
50,10,0.34444444444444444,0.08726290629365271,5.92,1.4945233353815524
50,20,0.26749999999999996,0.130862523283024,10.76,0.8138795979750323
50,50,0.14800000000000002,0.09765244492586962,12.08,8.979621372864226
50,80,0.15,0.08485281374238571,5.4,2.6683328128252666
100,10,0.35155555555555557,0.10265031134757015,5.76,0.8138795979750323
100,20,0.21599999999999997,0.088,10.8,0.9797958971132712
100,50,0.1464,0.06541437150963082,23.24,6.652999323613373
100,80,0.07600000000000001,0.053141321022345686,20.68,15.162374484229046
200,10,0.31333333333333335,0.09797958971132713,5.48,0.64
200,20,0.213,0.08649277426467485,10.84,1.0836973747315253
200,50,0.1288,0.06426943285886379,25.68,0.9682974749528164
200,80,0.09600000000000002,0.0662117814289874,39.36,6.88116269245249
